id,grad_year,"degree","exp_level","career_field"
1,1983,"","Government","Executive"
2,1993,"Workshop/Course Based","Community and Public Service","Executive"
3,2001,"Associate of Arts","Administrative Support","Experienced (Non-Managerial)"
4,2007,"Associate of Arts","Community and Public Service","Experienced (Non-Managerial)"
5,0,"High School Diploma","Banking and Financial Services","Experienced (Non-Managerial)"
6,0,"","Retail","Experienced (Non-Managerial)"
7,2017,"Bachelor of Science","Food and Beverage","Student"
8,0,"","Marketing, Advertising and PR","Entry Level"
9,0,"","Retail","Manager"
10,1999,"GED","Green Jobs","Entry Level"
11,2001,"Master of Science","Education and Training","Experienced (Non-Managerial)"
12,1984,"High School Diploma","Food and Beverage","Experienced (Non-Managerial)"
13,2011,"GED","Construction","Entry Level"
14,2014,"GED","Food and Beverage","Student"
15,0,"","Retail","Experienced (Non-Managerial)"
16,0,"0","0","0"
17,1986,"Diploma in nursing with AA degree","Nursing","Experienced (Non-Managerial)"
18,2012,"High School Diploma","Customer Service","Entry Level"
19,2005,"Specialty/Trade Degree","Beauty and Spa","Entry Level"
20,0,"0","Human Resources","Experienced (Non-Managerial)"
21,0,"0","0","Entry Level"
22,1996,"High School Diploma","Administrative Support","Experienced (Non-Managerial)"
23,1996,"High School Diploma","Banking and Financial Services","Executive"
24,2001,"Bachelor of Science","Nursing","Experienced (Non-Managerial)"
25,0,"","Food and Beverage","Manager"
26,2004,"","Customer Service","Experienced (Non-Managerial)"
27,2010,"Master of Arts","Education and Training","Entry Level"
28,0,"","Installation and Maintenance","Manager"
29,1983,"diploma","Retail","Experienced (Non-Managerial)"
30,1998,"High School Diploma","Manufacturing and Production","Entry Level"
31,2016,"Bachelor of Arts","Humanities and Liberal Arts","Student"
32,0,"","Trades","Manager"
33,0,"","Government","Manager"
34,0,"","Customer Service","Experienced (Non-Managerial)"
35,2008,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
36,1983,"GCSE","Transportation and Distribution","Experienced (Non-Managerial)"
37,2009,"High School Diploma","0","Student"
38,2015,"Associate of Science","Healthcare","Student"
39,2017,"Associate of Arts","Sports","Experienced (Non-Managerial)"
40,0,"0","Entertainment and Media","Manager"
41,2007,"GCSE","0","Experienced (Non-Managerial)"
42,0,"0","0","Experienced (Non-Managerial)"
43,2016,"","0","Student"
44,0,"Associate's Degree","Installation and Maintenance","Experienced (Non-Managerial)"
45,2012,"High School Diploma","Customer Service","Experienced (Non-Managerial)"
46,0,"","Travel and Hospitality","Entry Level"
47,2013,"Research Master","Humanities and Liberal Arts","Student"
48,0,"0","Customer Service","Entry Level"
